id	adj.P.Val.SCoV.over.Mock	geneSymbol	logFC.SCoV.over.Mock	P.Value.SCoV.over.Mock	species
NP_001381.2	0.692702128	DTNA	0.163279474	0.609117589	HOMO SAPIENS
NP_001243232.1	0.846525962	DTNB	-0.662166167	0.791008168	HOMO SAPIENS
NP_057164.3	0.451187439	GLOD4	-0.36989403	0.354343768	HOMO SAPIENS
NP_001035994.1	0.704247545	COASY	-0.335607982	0.62171251	HOMO SAPIENS
NP_065897.1	0.357730903	SLAIN2	-0.403698953	0.266665598	HOMO SAPIENS
NP_058651.3	0.058638153	SEPSECS	1.240421615	0.025701023	HOMO SAPIENS
NP_005134.1	0.000792815	HP	5.287846012	4.55E-05	HOMO SAPIENS
NP_060515.3	0.006082631	BSDC1	1.424573329	0.001079454	HOMO SAPIENS
NP_001351369.1	0.010053651	MTRR	1.581406373	0.00223185	HOMO SAPIENS
NP_076994.2	0.756446057	KDELC1	-0.112396666	0.681257142	HOMO SAPIENS
NP_001229416.1	0.077774447	ZSWIM8	1.011026068	0.037396476	HOMO SAPIENS
NP_001229417.1	0.056670006	ZSWIM8	2.918897997	0.024574589	HOMO SAPIENS
NP_005836.2	0.672423333	ABCC4	0.168895297	0.585516483	HOMO SAPIENS
NP_001269220.1	0.005632547	ABCB8	2.711179873	0.000957266	HOMO SAPIENS
NP_060496.2	0.000839116	PACS1	2.891082763	4.90E-05	HOMO SAPIENS
NP_002327.2	0.008199016	LRP6	-1.626677305	0.001671085	HOMO SAPIENS
NP_002326.2	0.580603344	LRP5	-0.269256827	0.486326842	HOMO SAPIENS
NP_004636.1	0.889685307	COIL	0.067330048	0.84900145	HOMO SAPIENS
NP_071387.1	0.170316173	PCIF1	0.49891274	0.104185742	HOMO SAPIENS
NP_056444.3	0.626583501	PRPF31	-0.175289648	0.535204753	HOMO SAPIENS
NP_055299.1	0.01238053	MOCS3	1.509584161	0.00298552	HOMO SAPIENS
NP_056516.2	0.210544333	ERLEC1	0.53830219	0.136442567	HOMO SAPIENS
NP_000518.1	0.000687841	LDLR	-7.191739063	3.38E-05	HOMO SAPIENS
NP_002035.1	0.494226442	GALK2	0.247699256	0.398006562	HOMO SAPIENS
NP_005727.1	0.010382803	ACTR1A	-1.34285797	0.002339827	HOMO SAPIENS
NP_005726.1	0.015406545	ACTR1B	1.197606737	0.004137099	HOMO SAPIENS
NP_001123553.1	0.00355027	PLD1	-2.142440364	0.000472462	HOMO SAPIENS
NP_001293073.1	0.066809692	MTMR1	-0.892673429	0.030654648	HOMO SAPIENS
NP_006746.1	0.028311786	TALDO1	-0.918685462	0.009693091	HOMO SAPIENS
NP_001341661.1	0.098702437	PAWR	0.7226442	0.051044907	HOMO SAPIENS
NP_001265518.1	0.234272603	ST13	0.398816352	0.155967905	HOMO SAPIENS
NP_060674.3	0.000515334	CKAP2	-7.098424102	2.00E-05	HOMO SAPIENS
NP_001020331.1	0.133512873	ADGRE5	0.716290393	0.076310479	HOMO SAPIENS
NP_001257981.1	0.553234242	ADGRE2	-0.916419684	0.458150263	HOMO SAPIENS
NP_001308658.1	0.019917757	EXOC6B	-0.971739901	0.006020469	HOMO SAPIENS
NP_001143.2	0.001922292	SLC25A5	-2.734717482	0.000180541	HOMO SAPIENS
NP_001627.2	0.112885313	SLC25A6	-1.042569773	0.061027721	HOMO SAPIENS
NP_001142.2	0.825694411	SLC25A4	0.201300889	0.764724461	HOMO SAPIENS
NP_001305396.1	0.290508531	SLC25A31	2.478995012	0.205233299	HOMO SAPIENS
NP_004695.1	0.061356112	RRP9	-0.835578859	0.027317918	HOMO SAPIENS
NP_004068.2	0.067308231	CS	-0.912267499	0.030969404	HOMO SAPIENS
NP_001009552.1	0.053125523	PPP2CB	-0.721481438	0.022572043	HOMO SAPIENS
NP_002706.1	0.667727315	PPP2CA	-0.610297545	0.58026942	HOMO SAPIENS
NP_001290432.1	0.389194541	PPP4C	0.380017358	0.296158715	HOMO SAPIENS
NP_060457.4	0.125802582	RUFY2	0.653135137	0.070743858	HOMO SAPIENS
NP_001311286.1	0.008370068	OGFOD1	-2.192006041	0.001721227	HOMO SAPIENS
NP_001337149.1	0.006347657	SMG7	-1.764706343	0.001151223	HOMO SAPIENS
NP_001077059.1	0.001650636	TMEM214	-3.164865355	0.000138457	HOMO SAPIENS
NP_001160163.1	0.000140232	TTK	-5.281892968	8.18E-07	HOMO SAPIENS
NP_001180243.1	0.513209029	VIPAS39	0.240417027	0.416729247	HOMO SAPIENS
NP_079105.4	0.00388079	PLBD1	-1.992064785	0.000540604	HOMO SAPIENS
NP_000843.1	0.298626904	GSTP1	0.44426121	0.212658553	HOMO SAPIENS
NP_001014431.1	0.017573709	AKT1	1.728344637	0.005015789	HOMO SAPIENS
NP_001617.1	0.087018226	AKT2	1.254080965	0.04330252	HOMO SAPIENS
NP_001193658.1	0.000251501	AKT3	10.57933173	4.82E-06	HOMO SAPIENS
NP_000512.1	0.268985689	HEXB	-0.464971857	0.185756273	HOMO SAPIENS
NP_075386.1	0.828485803	UPF3B	-0.089414003	0.768519644	HOMO SAPIENS
NP_065098.1	0.04680379	EIF2B3	-1.259185692	0.019181181	HOMO SAPIENS
NP_116258.2	0.049331083	NUDCD1	0.921108282	0.020514094	HOMO SAPIENS
NP_057111.1	0.146014766	LACTB2	-0.702858544	0.085386345	HOMO SAPIENS
NP_001287779.1	0.676965453	RC3H1	0.21679644	0.590521982	HOMO SAPIENS
NP_001094058.1	0.678517381	RC3H2	-1.036328308	0.592414271	HOMO SAPIENS
NP_055095.2	0.041362007	DNAJC8	1.126707021	0.016268372	HOMO SAPIENS
NP_055061.1	0.000661996	CELSR1	6.970078346	3.11E-05	HOMO SAPIENS
NP_001073594.1	0.027519377	CASP8	1.501407428	0.00933137	HOMO SAPIENS
NP_001073593.1	0.033019906	CASP8	3.485089162	0.011965044	HOMO SAPIENS
NP_203522.1	0.030458103	CASP8	6.05461353	0.010725389	HOMO SAPIENS
NP_002341.1	0.813193127	LYN	0.105341139	0.74913821	HOMO SAPIENS
NP_001035830.1	0.610434615	PGP	0.19815523	0.517718177	HOMO SAPIENS
NP_001035998.1	0.000479297	RIOX2	-4.490702145	1.76E-05	HOMO SAPIENS
NP_001026890.2	0.644921378	GSTCD	0.220413323	0.555623666	HOMO SAPIENS
NP_076983.1	0.045332669	NOC4L	0.894897887	0.018383812	HOMO SAPIENS
NP_006416.3	0.243228809	SLU7	0.380599262	0.16304056	HOMO SAPIENS
NP_060549.4	0.357024707	SRBD1	-0.341175489	0.266008825	HOMO SAPIENS
NP_078801.3	0.035895642	TTC13	-0.996582734	0.013425716	HOMO SAPIENS
NP_001267470.1	0.006342925	IFT122	1.831318788	0.00114747	HOMO SAPIENS
NP_000389.1	0.854574222	CYB5R3	0.081910085	0.801533836	HOMO SAPIENS
NP_002788.1	0.134594688	PSMB5	-0.59275973	0.077039366	HOMO SAPIENS
NP_008993.1	0.964200105	PWP1	-0.031913662	0.94835892	HOMO SAPIENS
NP_001336757.1	0.010669026	ABCB6	-1.316640721	0.002424072	HOMO SAPIENS
NP_006127.1	0.855157768	CAPZA2	0.059460287	0.802159217	HOMO SAPIENS
NP_006126.1	0.019305967	CAPZA1	1.024398737	0.00573335	HOMO SAPIENS
NP_001138360.1	0.002246538	BAIAP2	-2.497058364	0.000230477	HOMO SAPIENS
NP_001307192.1	0.415140723	AP3M1	-0.343158406	0.319805377	HOMO SAPIENS
NP_001127768.1	0.352192123	AP3M2	0.593653504	0.261347386	HOMO SAPIENS
NP_000447.2	0.363843724	SUOX	-0.403389713	0.272617117	HOMO SAPIENS
NP_005920.2	0.03054113	MELTF	1.023258171	0.010765776	HOMO SAPIENS
NP_201573.1	0.083227695	MELTF	2.224380193	0.040778228	HOMO SAPIENS
NP_689942.2	0.035288701	NT5DC1	-0.917276131	0.013099594	HOMO SAPIENS
NP_001661.1	0.00157701	ARVCF	3.052372345	0.000129114	HOMO SAPIENS
NP_002755.1	0.011885856	PRPS1	-1.392383082	0.002829346	HOMO SAPIENS
NP_001333510.1	0.189969314	ZKSCAN1	0.871773077	0.119485081	HOMO SAPIENS
NP_037498.1	0.148316783	ANAPC2	-1.201548213	0.087100235	HOMO SAPIENS
NP_001290377.1	0.968439886	SRRM1	-0.019493482	0.954148929	HOMO SAPIENS
NP_001290378.1	0.007849013	SRRM1	-8.318150084	0.001566794	HOMO SAPIENS
NP_859063.3	0.037612695	KANK4	-1.366580091	0.014327347	HOMO SAPIENS
NP_001307198.1	0.883935816	KANK4	0.171020746	0.841500494	HOMO SAPIENS
NP_001289875.1	0.009132795	TRNT1	-1.891293804	0.00195434	HOMO SAPIENS
NP_060264.4	0.19315478	FOCAD	0.572579469	0.121929395	HOMO SAPIENS
NP_001124488.1	0.163743252	CIZ1	0.626927632	0.099044042	HOMO SAPIENS
NP_002626.1	0.000839509	SLC25A3	-3.167473417	4.91E-05	HOMO SAPIENS
NP_061135.2	0.003735034	DDX43	-2.222414448	0.000505573	HOMO SAPIENS
NP_808881.3	0.011363443	PDE12	-1.278384951	0.00266318	HOMO SAPIENS
NP_005427.2	0.324325316	CCDC6	-0.292825225	0.23625779	HOMO SAPIENS
NP_003633.1	0.636425231	HAT1	0.195391885	0.545806085	HOMO SAPIENS
NP_001244927.1	0.100969233	VPS50	-1.196129895	0.052595054	HOMO SAPIENS
NP_064587.1	0.898689807	NIT2	-0.10524888	0.86061182	HOMO SAPIENS
NP_008882.2	0.374729559	TAF5	0.436470612	0.283030951	HOMO SAPIENS
NP_001157704.1	0.084247908	DDHD2	0.762458569	0.041499352	HOMO SAPIENS
NP_789782.1	0.076711924	CHMP4B	0.660924588	0.036640516	HOMO SAPIENS
NP_001167630.1	0.013900669	SH2D4A	-1.190671034	0.003562792	HOMO SAPIENS
NP_001104792.1	0.002336652	DDX54	2.524969084	0.000247664	HOMO SAPIENS
NP_076977.3	0.000251501	DDX54	5.03438858	4.82E-06	HOMO SAPIENS
NP_443134.3	0.043225683	STK11IP	1.0324481	0.017265023	HOMO SAPIENS
NP_060688.1	0.377670023	USP40	0.309291752	0.285753077	HOMO SAPIENS
NP_001909.3	0.322272788	DBT	-0.357121632	0.234409625	HOMO SAPIENS
NP_001171903.1	0.018400847	PACSIN3	-1.111867335	0.005342561	HOMO SAPIENS
NP_060445.3	0.002232598	ZWILCH	-3.253773672	0.000227417	HOMO SAPIENS
NP_004954.2	0.001879752	GUCY2C	-2.563216587	0.000173554	HOMO SAPIENS
NP_003986.2	0.263339975	NPR2	0.684481742	0.180535465	HOMO SAPIENS
NP_001513.2	0.09667053	GUCY2F	3.951731001	0.049685264	HOMO SAPIENS
NP_000897.3	0.287930154	NPR1	1.871328181	0.202702198	HOMO SAPIENS
NP_000171.1	0.672829803	GUCY2D	0.528081772	0.585931832	HOMO SAPIENS
NP_001157973.1	0.114030075	EIF4ENIF1	-0.890016181	0.061917207	HOMO SAPIENS
NP_002991.2	0.274762005	SDHB	-0.529947097	0.190731309	HOMO SAPIENS
NP_001976.1	0.019084932	ETFB	1.152108883	0.005636988	HOMO SAPIENS
NP_056142.2	0.026997878	SMG5	-1.078393301	0.009112646	HOMO SAPIENS
NP_001310545.1	0.000763007	SMG5	-9.711506301	4.22E-05	HOMO SAPIENS
NP_005898.2	0.015264306	MAN1A1	-2.391009913	0.004076857	HOMO SAPIENS
NP_001137233.1	0.953385437	EIF5A	-0.045662703	0.933257456	HOMO SAPIENS
NP_001137232.1	0.204588571	EIF5A	-1.691349351	0.131201104	HOMO SAPIENS
NP_065123.1	0.013900669	EIF5A2	1.745690127	0.00356525	HOMO SAPIENS
NP_001332797.1	0.307096049	GUF1	-0.484649922	0.220370029	HOMO SAPIENS
NP_001116698.1	0.001696126	MTO1	-3.592013938	0.000146783	HOMO SAPIENS
NP_079092.2	0.00869852	RABEP2	1.365829193	0.0018199	HOMO SAPIENS
NP_847884.2	0.084247908	RILPL1	-1.710367477	0.041501092	HOMO SAPIENS
NP_055238.1	0.38456341	AFF4	0.310422011	0.292143233	HOMO SAPIENS
NP_001070020.2	0.018547316	ACSS2	-1.231603206	0.005420638	HOMO SAPIENS
NP_001107563.1	0.003626461	CDC27	-2.081984721	0.00048563	HOMO SAPIENS
NP_003959.3	0.352500687	UBA3	0.513038708	0.261705055	HOMO SAPIENS
NP_004228.1	0.065753516	TRIP13	-1.313400734	0.030028527	HOMO SAPIENS
NP_002948.1	0.04549727	RXRA	0.933973441	0.018467174	HOMO SAPIENS
NP_001257330.1	0.004163017	RXRB	2.518086397	0.000607582	HOMO SAPIENS
NP_001308810.1	0.013074059	NAA35	-1.406634053	0.003238682	HOMO SAPIENS
NP_001244119.1	0.369627401	POM121	-0.393828709	0.278091021	HOMO SAPIENS
NP_001092885.2	0.810222598	POM121C	0.538932906	0.745366335	HOMO SAPIENS
NP_000054.2	0.036976705	C2	-1.104252932	0.013945296	HOMO SAPIENS
NP_001229712.1	0.022011449	TRIM26	-2.063445723	0.006896719	HOMO SAPIENS
NP_078838.1	0.006923072	TANGO6	-1.757147262	0.001296073	HOMO SAPIENS
NP_443108.1	0.039312898	NACC1	-1.059584352	0.015180568	HOMO SAPIENS
NP_653254.1	0.062194616	NACC2	0.995559757	0.027838846	HOMO SAPIENS
NP_060895.1	0.007752758	PI4K2A	-1.527520094	0.001539796	HOMO SAPIENS
NP_001309906.1	0.244124838	SFXN1	-0.459530187	0.163886289	HOMO SAPIENS
NP_001309909.1	0.086901367	SFXN1	1.06209056	0.043212728	HOMO SAPIENS
NP_112233.2	0.11857409	SFXN3	-0.583688624	0.06528285	HOMO SAPIENS
NP_115517.1	0.041861422	NSRP1	0.760673127	0.016546288	HOMO SAPIENS
NP_001310552.1	0.002991112	GNL2	-3.574488322	0.000362599	HOMO SAPIENS
NP_002171.2	0.004291703	IGHMBP2	-2.261013486	0.000637196	HOMO SAPIENS
NP_060813.2	0.000549137	RIOK2	-5.192806299	2.29E-05	HOMO SAPIENS
NP_000961.2	0.003587026	RPL6	2.151808195	0.00047899	HOMO SAPIENS
NP_116045.2	0.149579462	DHX37	-0.824075429	0.08812874	HOMO SAPIENS
NP_004572.3	0.074475901	RABGGTA	-0.780583566	0.035246216	HOMO SAPIENS
NP_001123514.1	0.331196157	CRYZ	0.444620348	0.242266681	HOMO SAPIENS
NP_653173.1	0.293777078	TBC1D2B	-0.432248378	0.208185947	HOMO SAPIENS
NP_001014794.1	0.299012166	ILK	0.417524826	0.213007481	HOMO SAPIENS
NP_001867.2	0.000343974	CPT1A	5.347248785	9.23E-06	HOMO SAPIENS
NP_821068.1	0.396798049	PTPA	0.308031199	0.30303115	HOMO SAPIENS
NP_055909.2	0.610434615	HIC2	0.225387292	0.517749076	HOMO SAPIENS
NP_001091672.1	0.429306353	HIC1	-1.463192242	0.333343296	HOMO SAPIENS
NP_009190.2	0.285267682	VPS45	-0.555997894	0.200254997	HOMO SAPIENS
NP_001291922.1	0.004621612	SDSL	2.527245455	0.000716696	HOMO SAPIENS
NP_001308192.1	0.01849525	EPN1	1.141689411	0.005391916	HOMO SAPIENS
NP_001123544.1	0.016390648	EPN1	3.110191656	0.004537499	HOMO SAPIENS
NP_000121.2	0.041957474	F5	-0.965051734	0.016618646	HOMO SAPIENS
NP_005796.1	0.372806265	PSMD14	0.380851759	0.281203995	HOMO SAPIENS
NP_001129123.1	0.109015685	EIF2AK2	-0.751629307	0.058338715	HOMO SAPIENS
NP_001338298.1	0.029155483	YEATS2	1.557010822	0.010075087	HOMO SAPIENS
NP_001029288.1	0.985018417	EIF2B4	-0.007261055	0.978365317	HOMO SAPIENS
NP_056451.3	0.958101575	EIF2B4	0.080229903	0.939911986	HOMO SAPIENS
NP_071334.1	0.002638907	EGLN1	2.118213926	0.000297226	HOMO SAPIENS
NP_115717.3	0.715865783	DDI2	-0.162787523	0.63523614	HOMO SAPIENS
NP_001410.2	0.931274822	ELAVL1	0.043598018	0.903063466	HOMO SAPIENS
NP_001139730.1	0.234034369	PIP4K2C	-0.464612458	0.155681132	HOMO SAPIENS
NP_001036148.2	0.389248994	SHPRH	-0.383722479	0.29623568	HOMO SAPIENS
NP_004259.3	0.280890957	MED17	-0.53391055	0.196182694	HOMO SAPIENS
NP_001337791.1	0.166872861	SNX13	-0.465961448	0.101546309	HOMO SAPIENS
NP_001116293.1	0.21599989	SET	0.506297061	0.140884923	HOMO SAPIENS
NP_003002.2	0.007253589	SET	2.753567227	0.001387703	HOMO SAPIENS
NP_001234930.1	0.09954692	SET	2.91859298	0.051663361	HOMO SAPIENS
NP_005266.2	0.289956345	GNL1	0.485384265	0.204763804	HOMO SAPIENS
NP_001007566.1	0.031250251	TFG	0.933487605	0.011112722	HOMO SAPIENS
NP_060834.2	0.017223698	RSBN1	-1.402475607	0.004877618	HOMO SAPIENS
NP_003155.2	0.609943283	STX5	0.200148236	0.516836422	HOMO SAPIENS
NP_004119.1	0.668761548	GTF2F2	-0.162829813	0.581580696	HOMO SAPIENS
NP_001317145.1	0.084095486	CNP	-0.784315305	0.041372277	HOMO SAPIENS
NP_001138631.1	0.283346681	INTS9	-0.406146095	0.198492677	HOMO SAPIENS
NP_683759.1	0.001329653	NSUN5	-2.591619821	0.000100167	HOMO SAPIENS
NP_001308924.1	0.024088038	MRPS5	-0.894241363	0.007824875	HOMO SAPIENS
NP_000964.1	0.000760901	RPL8	2.734674368	4.18E-05	HOMO SAPIENS
NP_005044.1	0.753582801	RAD23A	-0.164577716	0.678128225	HOMO SAPIENS
NP_002865.1	0.128953974	RAD23B	-0.68845162	0.073175142	HOMO SAPIENS
NP_065393.1	0.016921636	RTN4	1.254170041	0.004761888	HOMO SAPIENS
NP_722550.1	0.674462465	RTN4	-0.759746803	0.587722997	HOMO SAPIENS
NP_997403.1	0.739981829	RTN4	-0.913878611	0.662677358	HOMO SAPIENS
NP_803882.1	0.09398084	CYP20A1	0.8224568	0.047848222	HOMO SAPIENS
NP_001295076.1	0.013549847	PLEKHG3	1.590889163	0.003416462	HOMO SAPIENS
NP_057626.2	0.000738717	STK26	-2.929283002	3.81E-05	HOMO SAPIENS
NP_001027467.2	0.022599991	STK24	1.64721428	0.007159964	HOMO SAPIENS
NP_001258906.1	0.670884481	STK25	-0.208147501	0.583870348	HOMO SAPIENS
NP_001035917.1	0.847741205	STK26	-0.485805627	0.792809412	HOMO SAPIENS
NP_001340030.1	0.910707333	PRPSAP2	-0.054132598	0.876377091	HOMO SAPIENS
NP_002757.2	0.997321713	PRPSAP1	-0.001404248	0.996372763	HOMO SAPIENS
NP_620581.1	0.065891468	MAPK14	1.006498331	0.030119065	HOMO SAPIENS
NP_036313.3	0.249398335	FKBP8	-0.435604341	0.168495292	HOMO SAPIENS
NP_001308220.1	0.000776584	USP36	-3.799110015	4.39E-05	HOMO SAPIENS
NP_001308489.1	0.001398554	KIAA0100	2.314311024	0.000108075	HOMO SAPIENS
NP_060708.1	0.646269907	AGK	0.185421523	0.557198388	HOMO SAPIENS
NP_001005743.1	0.076093834	NUMB	1.139848108	0.036213331	HOMO SAPIENS
NP_004747.1	0.015279939	NUMBL	3.541558716	0.004086366	HOMO SAPIENS
NP_004777.1	0.091942576	TXNL1	-0.70711803	0.046491591	HOMO SAPIENS
NP_001120674.1	0.042703157	PCID2	-0.995213003	0.016997852	HOMO SAPIENS
NP_775853.2	0.00023722	PGM2L1	9.067342169	3.98E-06	HOMO SAPIENS
NP_037413.1	0.002202879	FLRT3	-4.081971591	0.000222379	HOMO SAPIENS
NP_066974.2	0.003377062	CROT	-1.794362725	0.000440781	HOMO SAPIENS
NP_056161.2	0.007479917	ZFYVE26	2.444495703	0.001457078	HOMO SAPIENS
NP_001007103.1	0.019286428	L3MBTL3	1.052925645	0.005717627	HOMO SAPIENS
NP_001257460.1	0.292297552	WTAP	0.395905837	0.206924043	HOMO SAPIENS
NP_057122.2	0.47716877	SBDS	0.360421867	0.380175812	HOMO SAPIENS
NP_061174.1	0.001581343	CTTNBP2NL	4.078786196	0.000129758	HOMO SAPIENS
NP_001317504.1	0.140706863	DECR1	-0.629782269	0.081513003	HOMO SAPIENS
NP_008998.1	0.790711804	KAT7	0.108947069	0.722148805	HOMO SAPIENS
NP_115564.2	0.15525288	KAT8	0.876229684	0.09240664	HOMO SAPIENS
NP_001273006.1	0.434683905	UBXN1	-0.390181169	0.338312309	HOMO SAPIENS
NP_857593.1	0.002274967	SPINT1	2.503828261	0.000235337	HOMO SAPIENS
NP_001027539.1	0.042665896	SPINT1	2.572957534	0.016975232	HOMO SAPIENS
NP_113673.3	0.535378226	GRWD1	0.273261962	0.439600449	HOMO SAPIENS
NP_060360.3	0.464589953	VPS13B	0.298888756	0.367821582	HOMO SAPIENS
NP_002666.1	0.022137201	PML	1.373479184	0.006962833	HOMO SAPIENS
NP_150242.1	0.0022474	PML	12.53444621	0.000231167	HOMO SAPIENS
NP_001025053.1	0.017485555	AHDC1	1.715341512	0.004978393	HOMO SAPIENS
NP_005498.1	0.79311552	CFL1	0.106647531	0.725068003	HOMO SAPIENS
NP_068733.1	0.667872054	CFL2	-0.177983559	0.580639039	HOMO SAPIENS
NP_689485.1	0.111675648	CHMP7	-0.807677135	0.060261631	HOMO SAPIENS
NP_001184226.1	0.055940646	GABPA	0.941042286	0.02418792	HOMO SAPIENS
NP_001276051.1	0.003095303	LIMCH1	3.718385546	0.000381404	HOMO SAPIENS
NP_001106190.1	0.001041576	LIMCH1	18.97203757	7.00E-05	HOMO SAPIENS
NP_003623.1	0.070010605	CNTNAP1	0.673617616	0.032520042	HOMO SAPIENS
NP_001036783.1	0.005592133	ELMSAN1	1.729748715	0.000947166	HOMO SAPIENS
NP_057260.2	0.127106782	SDF4	0.67163329	0.071666614	HOMO SAPIENS
NP_003380.3	0.154880814	CORO2A	-0.653265687	0.092114219	HOMO SAPIENS
NP_001071.1	0.141907983	ALDH5A1	0.511129668	0.082378128	HOMO SAPIENS
NP_000150.1	0.085894181	GCDH	-1.03987279	0.042555094	HOMO SAPIENS
NP_055490.4	0.889081022	CROCC	0.110214914	0.848343648	HOMO SAPIENS
NP_002211.1	0.002435185	ITPKA	-2.120519732	0.000264212	HOMO SAPIENS
NP_000963.1	0.010640437	RPL7A	1.889672682	0.002414396	HOMO SAPIENS
NP_006259.1	0.161671677	DPF2	0.780463776	0.097540141	HOMO SAPIENS
NP_001165774.1	0.000170889	MASTL	-4.23765857	1.92E-06	HOMO SAPIENS
NP_001025.1	0.000150637	RRM2	-14.07643767	1.16E-06	HOMO SAPIENS
NP_056528.2	0.012110291	RRM2B	-1.855178875	0.002901562	HOMO SAPIENS
NP_002099.1	0.000290547	HAL	-5.628567196	6.71E-06	HOMO SAPIENS
NP_001001484.1	0.001329653	PTER	2.492229992	0.000100367	HOMO SAPIENS
NP_001273159.1	0.000222933	DTL	-11.27234384	3.33E-06	HOMO SAPIENS
NP_001257412.1	0.06685088	TST	-1.541233269	0.03068575	HOMO SAPIENS
NP_055431.1	0.0887548	ATP11B	-0.867810923	0.044426006	HOMO SAPIENS
NP_009185.2	0.304057446	PNKP	0.419224696	0.217461867	HOMO SAPIENS
NP_005852.2	0.190807511	STUB1	-0.747541192	0.120134192	HOMO SAPIENS
NP_079023.2	0.511097764	HPS6	0.217568036	0.414392245	HOMO SAPIENS
NP_057132.2	0.199282065	ISOC1	-0.818778597	0.12707051	HOMO SAPIENS
NP_001269462.1	0.002336652	LZTS3	-3.242431181	0.000247527	HOMO SAPIENS
NP_001305028.1	0.011975519	LZTS2	-1.334478018	0.002853969	HOMO SAPIENS
NP_001153778.1	0.158601152	SYNJ1	-0.51488813	0.095296767	HOMO SAPIENS
NP_004738.3	0.156751988	DLG5	-0.875431955	0.093570464	HOMO SAPIENS
NP_056060.2	0.768056286	ANKS1A	0.121062607	0.694307179	HOMO SAPIENS
NP_001339114.1	0.336440167	ANKS1B	1.976165464	0.246771922	HOMO SAPIENS
NP_060579.3	0.101139962	MTPAP	-0.770657798	0.052739376	HOMO SAPIENS
NP_005782.1	0.688437029	MPHOSPH10	-0.209743264	0.604173242	HOMO SAPIENS
NP_060176.2	0.016845702	WDR55	1.256490245	0.004734202	HOMO SAPIENS
NP_001129101.1	0.003126421	PPP1R21	2.361015013	0.00038638	HOMO SAPIENS
NP_001306124.1	0.2346794	EXOC6	0.383617971	0.156345832	HOMO SAPIENS
NP_001035224.1	0.000627476	PALM	3.886246007	2.84E-05	HOMO SAPIENS
NP_001338962.1	0.406862452	DAZAP1	0.349438115	0.312202686	HOMO SAPIENS
NP_003482.1	0.016143278	NAA10	-1.52227507	0.004432831	HOMO SAPIENS
NP_116082.1	0.016679381	NAA11	-2.574419303	0.004660057	HOMO SAPIENS
NP_002943.2	0.008066832	RPS2	-2.034798526	0.001629807	HOMO SAPIENS
NP_001244074.1	0.007765734	DDX11	-2.929373601	0.001543082	HOMO SAPIENS
NP_149975.1	0.048643134	PIGS	0.798407541	0.020125897	HOMO SAPIENS
NP_004299.1	0.988252244	ARHGAP1	-0.007563422	0.983200936	HOMO SAPIENS
NP_001285.1	0.049764739	CLPTM1	-0.973362515	0.020776188	HOMO SAPIENS
NP_006272.2	0.137083385	STK3	-0.551604404	0.078814188	HOMO SAPIENS
NP_006273.1	0.01445834	STK4	2.351850854	0.003771626	HOMO SAPIENS
NP_056182.2	0.611968811	BCL2L13	0.186695556	0.519525548	HOMO SAPIENS
NP_002749.2	0.002674565	MAP2K6	-2.342008584	0.000303631	HOMO SAPIENS
NP_659731.1	0.128433165	MAP2K3	-1.040084695	0.072820995	HOMO SAPIENS
NP_066923.3	0.52812574	NFS1	0.209025276	0.431813652	HOMO SAPIENS
NP_001185715.1	0.403417088	POU2F1	0.313787484	0.309117055	HOMO SAPIENS
NP_001231611.1	0.009625841	POU2F3	-2.712661994	0.002110375	HOMO SAPIENS
NP_001036146.1	0.0029057	RERE	2.317114204	0.000346787	HOMO SAPIENS
NP_001120679.1	0.100361762	SMARCAL1	0.947052842	0.052195526	HOMO SAPIENS
NP_073557.3	0.193618395	DGCR8	0.529125789	0.122378822	HOMO SAPIENS
NP_000373.1	0.219241926	ALDH3A2	-0.515058035	0.143585131	HOMO SAPIENS
NP_000685.1	0.364221634	ALDH3B1	0.839543917	0.273099738	HOMO SAPIENS
NP_001290330.1	0.909424764	CEP97	-0.043559616	0.874561821	HOMO SAPIENS
NP_055487.2	0.075418348	KIAA0391	-0.734773949	0.035754189	HOMO SAPIENS
NP_054861.2	0.424265873	NUDT5	0.364038043	0.328267781	HOMO SAPIENS
NP_003110.1	0.929443383	SPG7	0.046212956	0.900769427	HOMO SAPIENS
NP_955399.1	0.389594811	SPG7	0.915925208	0.296712222	HOMO SAPIENS
NP_055529.2	0.013773497	IFT140	1.369197922	0.003510055	HOMO SAPIENS
NP_001018146.1	0.038379758	NME1-NME2	-1.205225803	0.014695426	HOMO SAPIENS
NP_000260.1	0.573990265	NME1	0.752699163	0.479792155	HOMO SAPIENS
NP_055750.2	0.012421682	PLEKHA6	1.93342025	0.002997711	HOMO SAPIENS
NP_001287835.1	0.003365164	IBTK	1.821816062	0.000438307	HOMO SAPIENS
NP_001612.1	0.000224166	AHR	-10.49959022	3.53E-06	HOMO SAPIENS
NP_115689.1	0.003517828	NOA1	-2.022447851	0.000465255	HOMO SAPIENS
NP_001335007.1	0.000847967	LONP2	-5.288567746	5.04E-05	HOMO SAPIENS
NP_057371.2	0.000350453	HP1BP3	3.888939728	9.79E-06	HOMO SAPIENS
NP_001269.3	0.019261147	CHUK	-1.754978366	0.005708374	HOMO SAPIENS
NP_005877.2	0.016757373	KATNB1	-1.204843998	0.004692759	HOMO SAPIENS
NP_065881.1	0.005773882	WDFY1	1.666527244	0.000996569	HOMO SAPIENS
NP_065715.1	0.506556785	DECR2	-0.44111204	0.410063173	HOMO SAPIENS
